pathway,Biodomain
GOBP_NORADRENERGIC_NEURON_DEVELOPMENT,unknown
GOBP_CHONDROCYTE_HYPERTROPHY,unknown
GOBP_GROWTH_PLATE_CARTILAGE_CHONDROCYTE_DIFFERENTIATION,unknown
GOBP_CELLULAR_GLUCAN_METABOLIC_PROCESS,unknown
GOBP_SUCCINYL_COA_METABOLIC_PROCESS,Mitochondrial Metabolism
GOBP_ENERGY_RESERVE_METABOLIC_PROCESS,Lipid Metabolism
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_SUCCINATE_TO_UBIQUINONE,Mitochondrial Metabolism
GOBP_ADP_BIOSYNTHETIC_PROCESS,unknown
GOBP_IMP_CATABOLIC_PROCESS,unknown
GOBP_DNA_TEMPLATED_DNA_REPLICATION,Cell Cycle
GOBP_DNA_UNWINDING_INVOLVED_IN_DNA_REPLICATION,Cell Cycle
GOBP_DNA_REPLICATION_INITIATION,Cell Cycle
GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION,Cell Cycle
GOBP_BASE_EXCISION_REPAIR_GAP_FILLING,DNA Repair
GOBP_DNA_RECOMBINATION,Cell Cycle
GOBP_RRNA_PROCESSING,Proteostasis
GOBP_TRANSLATIONAL_ELONGATION,Proteostasis
GOBP_TRANSLATIONAL_TERMINATION,Proteostasis
GOBP_PROTEIN_FOLDING,Proteostasis
GOBP_DE_NOVO_PROTEIN_FOLDING,Proteostasis
GOBP_GPI_ANCHOR_METABOLIC_PROCESS,Lipid Metabolism
GOBP_PROTEOLYSIS,Proteostasis
GOBP_PROTEIN_QUALITY_CONTROL_FOR_MISFOLDED_OR_INCOMPLETELY_SYNTHESIZED_PROTEINS,Proteostasis
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Proteostasis
GOBP_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Proteostasis
GOBP_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION,Proteostasis
GOBP_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_SIGNAL_SEQUENCE_RECOGNITION,Proteostasis
GOBP_POST_TRANSLATIONAL_PROTEIN_TARGETING_TO_ENDOPLASMIC_RETICULUM_MEMBRANE,Proteostasis
GOBP_PROTEIN_RETENTION_IN_ER_LUMEN,Proteostasis
GOBP_PROTEIN_TARGETING_TO_PEROXISOME,unknown
GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS,Lipid Metabolism
GOBP_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS,Lipid Metabolism
GOBP_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS,Lipid Metabolism
GOBP_PHOSPHATIDYLSERINE_METABOLIC_PROCESS,Lipid Metabolism
GOBP_PROSTANOID_METABOLIC_PROCESS,Lipid Metabolism
GOBP_BILE_ACID_BIOSYNTHETIC_PROCESS,Lipid Metabolism
GOBP_CHOLESTEROL_CATABOLIC_PROCESS,Lipid Metabolism
GOBP_COPPER_ION_TRANSPORT,Metal Binding and Homeostasis
GOBP_MITOCHONDRIAL_TRANSPORT,Mitochondrial Metabolism
GOBP_INTRACELLULAR_IRON_ION_HOMEOSTASIS,Metal Binding and Homeostasis
GOBP_INTRACELLULAR_SODIUM_ION_HOMEOSTASIS,unknown
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT,Proteostasis
GOBP_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM,Endolysosome
GOBP_INTRA_GOLGI_VESICLE_MEDIATED_TRANSPORT,Proteostasis
GOBP_VESICLE_BUDDING_FROM_MEMBRANE,Endolysosome
GOBP_VESICLE_COATING,Proteostasis
GOBP_PHAGOCYTOSIS_RECOGNITION,Immune Response
GOBP_RESPONSE_TO_OSMOTIC_STRESS,unknown
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY,unknown
GOBP_RESPONSE_TO_STEROL_DEPLETION,Lipid Metabolism
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_STARVATION,unknown
GOBP_NUCLEOLUS_ORGANIZATION,unknown
GOBP_MICROTUBULE_DEPOLYMERIZATION,Structural Stabilization
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,Structural Stabilization
GOBP_ENDOSOME_ORGANIZATION,Endolysosome
GOBP_MITOTIC_SISTER_CHROMATID_COHESION,Cell Cycle
GOBP_FEMALE_MEIOTIC_NUCLEAR_DIVISION,Cell Cycle
GOBP_FEMALE_MEIOSIS_I,Cell Cycle
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,Structural Stabilization
GOBP_RECEPTOR_GUANYLYL_CYCLASE_SIGNALING_PATHWAY,unknown
GOBP_JNK_CASCADE,unknown
GOBP_ECTODERM_DEVELOPMENT,unknown
GOBP_ADULT_HEART_DEVELOPMENT,Vasculature
GOBP_FEEDING_BEHAVIOR,unknown
GOBP_CELL_RECOGNITION,unknown
GOBP_MESODERMAL_CELL_MIGRATION,unknown
GOBP_ISOPRENOID_CATABOLIC_PROCESS,Lipid Metabolism
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,Apoptosis
GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS,Lipid Metabolism
GOBP_MACROMOLECULE_CATABOLIC_PROCESS,unknown
GOBP_NUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS,Cell Cycle
GOBP_PURINE_NUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS,Cell Cycle
GOBP_RIBONUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS,Cell Cycle
GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS,unknown
GOBP_RESPONSE_TO_HEAT,unknown
GOBP_RESPONSE_TO_FRUCTOSE,unknown
GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS,unknown
GOBP_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION,unknown
GOBP_MEIOTIC_CHROMOSOME_CONDENSATION,Cell Cycle
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_VIA_CHROMOSOMAL_DNA_CYTOSINE_METHYLATION,Epigenetic
GOBP_MEMBRANE_INVAGINATION,unknown
GOBP_RESPONSE_TO_ACIDIC_PH,unknown
GOBP_REGULATION_OF_GASTRULATION,unknown
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Proteostasis
GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY,Autophagy
GOBP_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS,Apoptosis
GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS,Structural Stabilization
GOBP_NEGATIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS,Structural Stabilization
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,unknown
GOBP_REGULATION_OF_MITOCHONDRION_ORGANIZATION,Mitochondrial Metabolism
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION,Mitochondrial Metabolism
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION,Mitochondrial Metabolism
GOBP_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT,Lipid Metabolism
GOBP_NEGATIVE_REGULATION_OF_SMAD_PROTEIN_COMPLEX_ASSEMBLY,unknown
GOBP_GLIAL_CELL_PROLIFERATION,Immune Response
GOBP_NEURAL_CREST_FORMATION,unknown
GOBP_NEURAL_CREST_CELL_FATE_COMMITMENT,unknown
GOBP_SCHWANN_CELL_DIFFERENTIATION,Myelination
GOBP_SCHWANN_CELL_DEVELOPMENT,Myelination
GOBP_GAMMA_AMINOBUTYRIC_ACID_SECRETION,Synapse
GOBP_NEGATIVE_REGULATION_OF_SEROTONIN_SECRETION,Synapse
GOBP_REGULATION_OF_SKELETAL_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING,Vasculature
GOBP_NEGATIVE_REGULATION_OF_SKELETAL_MUSCLE_CELL_PROLIFERATION,unknown
GOBP_NOREPINEPHRINE_TRANSPORT,Synapse
GOBP_VESICLE_ORGANIZATION,unknown
GOBP_TERPENOID_CATABOLIC_PROCESS,Lipid Metabolism
GOBP_POSITIVE_REGULATION_OF_MACROAUTOPHAGY,Autophagy
GOBP_PROTEIN_IMPORT_INTO_PEROXISOME_MATRIX_RECEPTOR_RECYCLING,unknown
GOBP_PROTEIN_IMPORT,Mitochondrial Metabolism
GOBP_PEPTIDYL_PROLINE_MODIFICATION,unknown
GOBP_PEPTIDYL_PROLINE_HYDROXYLATION_TO_4_HYDROXY_L_PROLINE,unknown
GOBP_VIRAL_RELEASE_FROM_HOST_CELL,Immune Response
GOBP_REPRODUCTIVE_BEHAVIOR,unknown
GOBP_DOLICHOL_METABOLIC_PROCESS,Lipid Metabolism
GOBP_LIPOXYGENASE_PATHWAY,Lipid Metabolism
GOBP_TAURINE_METABOLIC_PROCESS,unknown
GOBP_GLIAL_CELL_FATE_COMMITMENT,unknown
GOBP_GLIAL_CELL_DEVELOPMENT,unknown
GOBP_PROTEIN_TO_MEMBRANE_DOCKING,Structural Stabilization
GOBP_NEGATIVE_REGULATION_OF_SIGNALING,unknown
GOBP_NATURAL_KILLER_CELL_ACTIVATION,Immune Response
GOBP_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX,Mitochondrial Metabolism
GOBP_PROTEIN_CATABOLIC_PROCESS,Proteostasis
GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION_INITIATION,Cell Cycle
GOBP_MEGAKARYOCYTE_DIFFERENTIATION,Immune Response
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH,unknown
GOBP_UBIQUITIN_DEPENDENT_ERAD_PATHWAY,Proteostasis
GOBP_MATURATION_OF_SSU_RRNA,Proteostasis
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY,unknown
GOBP_EXOCRINE_PANCREAS_DEVELOPMENT,unknown
GOBP_ENDOCRINE_PANCREAS_DEVELOPMENT,unknown
GOBP_NEGATIVE_REGULATION_OF_HISTONE_DEACETYLATION,Epigenetic
GOBP_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE,unknown
GOBP_RRNA_PSEUDOURIDINE_SYNTHESIS,Proteostasis
GOBP_RRNA_3_END_PROCESSING,Proteostasis
GOBP_REGULATION_OF_AXON_DIAMETER,unknown
GOBP_POST_TRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION,Proteostasis
GOBP_REPLICATION_FORK_PROCESSING,Cell Cycle
GOBP_POSITIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS,unknown
GOBP_NEGATIVE_REGULATION_OF_CELL_KILLING,unknown
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE,Immune Response
GOBP_WYBUTOSINE_METABOLIC_PROCESS,unknown
GOBP_KILLING_OF_CELLS_OF_ANOTHER_ORGANISM,Immune Response
GOBP_REGULATION_OF_PROTEIN_STABILITY,Proteostasis
GOBP_PROTEIN_DESTABILIZATION,Proteostasis
GOBP_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY,Immune Response
GOBP_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY,Immune Response
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION,unknown
GOBP_ISG15_PROTEIN_CONJUGATION,unknown
GOBP_NEGATIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY,Apoptosis
GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GABAERGIC,Synapse
GOBP_DENSE_CORE_GRANULE_LOCALIZATION,unknown
GOBP_POSITIVE_REGULATION_OF_GONADOTROPIN_SECRETION,unknown
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT,unknown
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,unknown
GOBP_REGULATION_OF_PHOSPHOLIPASE_A2_ACTIVITY,Lipid Metabolism
GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_A2_ACTIVITY,Lipid Metabolism
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Proteostasis
GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,Immune Response
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_CELL,Proteostasis
GOBP_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM,Proteostasis
GOBP_PROTEIN_TRANSPORT_WITHIN_LIPID_BILAYER,Lipid Metabolism
GOBP_INTERFERON_ALPHA_PRODUCTION,Immune Response
GOBP_INTERFERON_BETA_PRODUCTION,Immune Response
GOBP_INTERLEUKIN_18_PRODUCTION,Immune Response
GOBP_INTERLEUKIN_23_PRODUCTION,Immune Response
GOBP_NEGATIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION,Immune Response
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_17_PRODUCTION,Immune Response
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_18_PRODUCTION,Immune Response
GOBP_POSITIVE_REGULATION_OF_CREB_TRANSCRIPTION_FACTOR_ACTIVITY,Epigenetic
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION,Immune Response
GOBP_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION,Immune Response
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION,Immune Response
GOBP_REGULATION_OF_SUPEROXIDE_ANION_GENERATION,Oxidative Stress
GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,Proteostasis
GOBP_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY,Lipid Metabolism
GOBP_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION,Cell Cycle
GOBP_MEIOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING,Cell Cycle
GOBP_MITOTIC_DNA_REPLICATION_CHECKPOINT_SIGNALING,Cell Cycle
GOBP_S_ADENOSYLMETHIONINE_CYCLE,unknown
GOBP_CARBOHYDRATE_HOMEOSTASIS,unknown
GOBP_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS,Lipid Metabolism
GOBP_REGULATION_OF_NAD_P_H_OXIDASE_ACTIVITY,Oxidative Stress
GOBP_POSITIVE_REGULATION_OF_NAD_P_H_OXIDASE_ACTIVITY,Oxidative Stress
GOBP_PROTEIN_LOCALIZATION_TO_GOLGI_APPARATUS,Proteostasis
GOBP_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION,Cell Cycle
GOBP_ERYTHROCYTE_HOMEOSTASIS,Immune Response
GOBP_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY,Immune Response
GOBP_RESPONSE_TO_TYPE_III_INTERFERON,Immune Response
GOBP_LIPID_DROPLET_ORGANIZATION,Lipid Metabolism
GOBP_EARLY_ENDOSOME_TO_GOLGI_TRANSPORT,Endolysosome
GOBP_CENTROMERE_COMPLEX_ASSEMBLY,Cell Cycle
GOBP_CELLULAR_RESPONSE_TO_HEAT,unknown
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,unknown
GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,Proteostasis
GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,unknown
GOBP_MIRNA_MEDIATED_GENE_SILENCING_BY_INHIBITION_OF_TRANSLATION,Epigenetic
GOBP_INTRACELLULAR_TRIGLYCERIDE_HOMEOSTASIS,Lipid Metabolism
GOBP_REGULATION_OF_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY,unknown
GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ENDOPLASMIC_RETICULUM,Proteostasis
GOBP_VESICLE_CARGO_LOADING,Proteostasis
GOBP_TRIF_DEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,Immune Response
GOBP_REGULATION_OF_URINE_VOLUME,unknown
GOBP_POSITIVE_REGULATION_OF_URINE_VOLUME,unknown
GOBP_RENAL_SODIUM_EXCRETION,unknown
GOBP_HOMOLOGOUS_RECOMBINATION,Cell Cycle
GOBP_NAIL_DEVELOPMENT,unknown
GOBP_ASCENDING_AORTA_DEVELOPMENT,Vasculature
GOBP_DORSAL_AORTA_DEVELOPMENT,Vasculature
GOBP_AORTA_MORPHOGENESIS,Vasculature
GOBP_DORSAL_AORTA_MORPHOGENESIS,Vasculature
GOBP_SKELETAL_MUSCLE_CELL_DIFFERENTIATION,unknown
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,Proteostasis
GOBP_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS,Lipid Metabolism
GOBP_RNA_GUANINE_N7_METHYLATION,unknown
GOBP_CELLULAR_RESPONSE_TO_INCREASED_OXYGEN_LEVELS,Oxidative Stress
GOBP_RESPONSE_TO_INCREASED_OXYGEN_LEVELS,Oxidative Stress
GOBP_INTERSTRAND_CROSS_LINK_REPAIR,DNA Repair
GOBP_INTESTINAL_STEM_CELL_HOMEOSTASIS,unknown
GOBP_SODIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE,Metal Binding and Homeostasis
GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,Proteostasis
GOBP_ERAD_PATHWAY,Proteostasis
GOBP_REGULATION_OF_VIRAL_INDUCED_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Immune Response
GOBP_NEGATIVE_REGULATION_OF_VIRAL_INDUCED_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Immune Response
GOBP_VIRAL_RNA_GENOME_REPLICATION,unknown
GOBP_REGULATION_OF_GROWTH,unknown
GOBP_SNRNA_MODIFICATION,RNA Spliceosome
GOBP_PROTEIN_REFOLDING,Proteostasis
GOBP_FLUID_TRANSPORT,unknown
GOBP_EPITHELIAL_FLUID_TRANSPORT,unknown
GOBP_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,unknown
GOBP_REGULATION_OF_CATECHOLAMINE_METABOLIC_PROCESS,Lipid Metabolism
GOBP_STRAND_INVASION,Cell Cycle
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,Proteostasis
GOBP_RIBOSOME_BIOGENESIS,Proteostasis
GOBP_PROTECTION_FROM_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,Immune Response
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,Proteostasis
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_IMPORT_INTO_NUCLEUS,unknown
GOBP_DOPAMINE_BIOSYNTHETIC_PROCESS,Lipid Metabolism
GOBP_MIDDLE_EAR_MORPHOGENESIS,unknown
GOBP_NEGATIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN,unknown
GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY,Immune Response
GOBP_RECEPTOR_METABOLIC_PROCESS,unknown
GOBP_NEGATIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING,Apoptosis
GOBP_APOPTOTIC_CELL_CLEARANCE,Apoptosis
GOBP_NATURAL_KILLER_CELL_DEGRANULATION,Immune Response
GOBP_STEROID_HORMONE_MEDIATED_SIGNALING_PATHWAY,Lipid Metabolism
GOBP_REGULATION_OF_MAP_KINASE_ACTIVITY,unknown
GOBP_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,unknown
GOBP_NEGATIVE_REGULATION_OF_MAPK_CASCADE,unknown
GOBP_NEGATIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,Epigenetic
GOBP_MITOCHONDRIAL_DNA_REPAIR,Mitochondrial Metabolism
GOBP_REGULATION_OF_JUN_KINASE_ACTIVITY,unknown
GOBP_POSITIVE_REGULATION_OF_JUN_KINASE_ACTIVITY,unknown
GOBP_NEGATIVE_REGULATION_OF_JUN_KINASE_ACTIVITY,Immune Response
GOBP_PEROXISOMAL_TRANSPORT,unknown
GOBP_AMIDE_METABOLIC_PROCESS,unknown
GOBP_LINOLEIC_ACID_METABOLIC_PROCESS,Lipid Metabolism
GOBP_ENGULFMENT_OF_APOPTOTIC_CELL,Apoptosis
GOBP_RECOGNITION_OF_APOPTOTIC_CELL,Apoptosis
GOBP_REGULATION_OF_EXCRETION,unknown
GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION,unknown
GOBP_PROTEIN_TRANSMEMBRANE_IMPORT_INTO_INTRACELLULAR_ORGANELLE,Mitochondrial Metabolism
GOBP_CELL_CYCLE_DNA_REPLICATION,Cell Cycle
GOBP_MODULATION_BY_HOST_OF_VIRAL_PROCESS,Immune Response
GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_PROCESS,Immune Response
GOBP_MODULATION_BY_HOST_OF_VIRAL_GENOME_REPLICATION,Immune Response
GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_GENOME_REPLICATION,Immune Response
GOBP_MODULATION_BY_HOST_OF_VIRAL_RNA_GENOME_REPLICATION,Immune Response
GOBP_CELL_CYCLE_G2_M_PHASE_TRANSITION,Cell Cycle
GOBP_LIPOPROTEIN_LOCALIZATION,Lipid Metabolism
GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY,Cell Cycle
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS,Lipid Metabolism
GOBP_PROTEIN_INSERTION_INTO_ER_MEMBRANE,Proteostasis
GOBP_PROTEIN_INSERTION_INTO_ER_MEMBRANE_BY_STOP_TRANSFER_MEMBRANE_ANCHOR_SEQUENCE,Proteostasis
GOBP_POSITIVE_THYMIC_T_CELL_SELECTION,Immune Response
GOBP_INTEGRIN_BIOSYNTHETIC_PROCESS,Structural Stabilization
GOBP_MEIOTIC_CHROMOSOME_SEGREGATION,Cell Cycle
GOBP_APICAL_PROTEIN_LOCALIZATION,Structural Stabilization
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION,Proteostasis
GOBP_MHC_CLASS_I_BIOSYNTHETIC_PROCESS,Immune Response
GOBP_POSITIVE_REGULATION_OF_MHC_CLASS_I_BIOSYNTHETIC_PROCESS,Immune Response
GOBP_REGULATION_OF_GAMMA_DELTA_T_CELL_DIFFERENTIATION,Immune Response
GOBP_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION,Immune Response
GOBP_POSITIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION,Immune Response
GOBP_RESPIRATORY_BURST,Immune Response
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,Proteostasis
GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE,Immune Response
GOBP_NEGATIVE_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION,Cell Cycle
GOBP_NEGATIVE_REGULATION_OF_GROWTH,unknown
GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,Immune Response
GOBP_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION,unknown
GOBP_ADENOSINE_METABOLIC_PROCESS,Lipid Metabolism
GOBP_INOSINE_METABOLIC_PROCESS,unknown
GOBP_PURINE_RIBONUCLEOSIDE_CATABOLIC_PROCESS,Cell Cycle
GOBP_REGULATION_OF_GLUCOSE_IMPORT,Lipid Metabolism
GOBP_REGULATION_OF_JNK_CASCADE,Immune Response
GOBP_POSITIVE_REGULATION_OF_JNK_CASCADE,Immune Response
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT,Immune Response
