ONTOLOGY,ID,pathway,Biodomain
BP,GO:0045666,positive regulation of neuron differentiation,none
CC,GO:0019898,extrinsic component of membrane,none
BP,GO:0048002,antigen processing and presentation of peptide antigen,Immune Response
CC,GO:0030139,endocytic vesicle,Endolysosome
BP,GO:0002009,morphogenesis of an epithelium,none
CC,GO:0034774,secretory granule lumen,none
CC,GO:0032592,integral component of mitochondrial membrane,Mitochondrial Metabolism
BP,GO:0002478,antigen processing and presentation of exogenous peptide antigen,none
BP,GO:0043112,receptor metabolic process,Synapse
BP,GO:0019882,antigen processing and presentation,Immune Response
BP,GO:0062012,regulation of small molecule metabolic process,none
BP,GO:0048638,regulation of developmental growth,none
BP,GO:0001667,ameboidal-type cell migration,none
BP,GO:0052547,regulation of peptidase activity,none
BP,GO:1905477,positive regulation of protein localization to membrane,none
CC,GO:0030666,endocytic vesicle membrane,Endolysosome
BP,GO:0010810,regulation of cell-substrate adhesion,Structural Stabilization
BP,GO:0050806,positive regulation of synaptic transmission,Synapse
BP,GO:0110053,regulation of actin filament organization,Structural Stabilization
BP,GO:0099175,regulation of postsynapse organization,Synapse
BP,GO:1901342,regulation of vasculature development,Vasculature
BP,GO:0050890,cognition,none
BP,GO:0071346,cellular response to interferon-gamma,Immune Response
BP,GO:0099003,vesicle-mediated transport in synapse,Synapse
MF,GO:0017048,Rho GTPase binding,none
CC,GO:0030027,lamellipodium,none
BP,GO:0045785,positive regulation of cell adhesion,Structural Stabilization
BP,GO:0070585,protein localization to mitochondrion,Mitochondrial Metabolism
BP,GO:0062197,cellular response to chemical stress,none
CC,GO:0032587,ruffle membrane,Lipid Metabolism
BP,GO:0051494,negative regulation of cytoskeleton organization,Structural Stabilization
CC,GO:0005938,cell cortex,Structural Stabilization
BP,GO:1903034,regulation of response to wounding,none
BP,GO:0048167,regulation of synaptic plasticity,Synapse
BP,GO:0002479,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",Immune Response
CC,GO:0019897,extrinsic component of plasma membrane,none
BP,GO:0051047,positive regulation of secretion,none
BP,GO:0043270,positive regulation of ion transport,none
MF,GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",none
BP,GO:0050865,regulation of cell activation,none
BP,GO:0071456,cellular response to hypoxia,none
BP,GO:0008154,actin polymerization or depolymerization,Structural Stabilization
BP,GO:0009408,response to heat,none
BP,GO:0071453,cellular response to oxygen levels,none
CC,GO:0008328,ionotropic glutamate receptor complex,Synapse
BP,GO:0010469,regulation of signaling receptor activity,none
BP,GO:0051017,actin filament bundle assembly,Structural Stabilization
BP,GO:0003012,muscle system process,none
BP,GO:0030307,positive regulation of cell growth,none
BP,GO:0035567,non-canonical Wnt signaling pathway,none
BP,GO:0036294,cellular response to decreased oxygen levels,none
CC,GO:0045211,postsynaptic membrane,Synapse
BP,GO:0010976,positive regulation of neuron projection development,Synapse
BP,GO:0032271,regulation of protein polymerization,none
MF,GO:0005543,phospholipid binding,Lipid Metabolism
BP,GO:0030111,regulation of Wnt signaling pathway,none
BP,GO:0060070,canonical Wnt signaling pathway,none
CC,GO:0030427,site of polarized growth,none
BP,GO:0072655,establishment of protein localization to mitochondrion,Mitochondrial Metabolism
BP,GO:0007162,negative regulation of cell adhesion,Structural Stabilization
BP,GO:0006099,tricarboxylic acid cycle,Mitochondrial Metabolism
BP,GO:0022407,regulation of cell-cell adhesion,Structural Stabilization
BP,GO:0060997,dendritic spine morphogenesis,Synapse
BP,GO:0045927,positive regulation of growth,none
BP,GO:0072593,reactive oxygen species metabolic process,Oxidative Stress
CC,GO:0005763,mitochondrial small ribosomal subunit,Mitochondrial Metabolism
CC,GO:0000314,organellar small ribosomal subunit,none
CC,GO:0005763,mitochondrial small ribosomal subunit,Proteostasis
BP,GO:0044409,entry into host,none
CC,GO:0016323,basolateral plasma membrane,Lipid Metabolism
BP,GO:0051402,neuron apoptotic process,Apoptosis
BP,GO:0006979,response to oxidative stress,Oxidative Stress
BP,GO:0006754,ATP biosynthetic process,Mitochondrial Metabolism
BP,GO:0031503,protein-containing complex localization,none
BP,GO:0006909,phagocytosis,Autophagy
BP,GO:0009266,response to temperature stimulus,none
BP,GO:0006090,pyruvate metabolic process,none
CC,GO:0032281,AMPA glutamate receptor complex,Synapse
MF,GO:0044325,ion channel binding,Synapse
CC,GO:0098858,actin-based cell projection,none
BP,GO:0008088,axo-dendritic transport,Synapse
BP,GO:0098693,regulation of synaptic vesicle cycle,Synapse
CC,GO:0030426,growth cone,Synapse
CC,GO:0005635,nuclear envelope,none
BP,GO:0019932,second-messenger-mediated signaling,none
CC,GO:0098878,neurotransmitter receptor complex,Synapse
BP,GO:0035592,establishment of protein localization to extracellular region,none
BP,GO:2001056,positive regulation of cysteine-type endopeptidase activity,none
CC,GO:0005912,adherens junction,Structural Stabilization
BP,GO:0016052,carbohydrate catabolic process,none
BP,GO:0018105,peptidyl-serine phosphorylation,none
BP,GO:0007215,glutamate receptor signaling pathway,Synapse
BP,GO:0010001,glial cell differentiation,none
BP,GO:0070555,response to interleukin-1,Immune Response
MF,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",none
MF,GO:0016247,channel regulator activity,Synapse
BP,GO:0030010,establishment of cell polarity,none
BP,GO:0030041,actin filament polymerization,Structural Stabilization
BP,GO:1901652,response to peptide,none
BP,GO:0099504,synaptic vesicle cycle,Synapse
BP,GO:0030308,negative regulation of cell growth,none
BP,GO:0048598,embryonic morphogenesis,none
BP,GO:0051258,protein polymerization,none
BP,GO:0006816,calcium ion transport,none
CC,GO:1905368,peptidase complex,none
BP,GO:0009306,protein secretion,none
BP,GO:0017157,regulation of exocytosis,none
BP,GO:1903532,positive regulation of secretion by cell,none
BP,GO:1904375,regulation of protein localization to cell periphery,none
BP,GO:0006757,ATP generation from ADP,none
BP,GO:0043523,regulation of neuron apoptotic process,Apoptosis
BP,GO:0071692,protein localization to extracellular region,none
BP,GO:0090175,regulation of establishment of planar polarity,none
BP,GO:0032386,regulation of intracellular transport,none
MF,GO:0099106,ion channel regulator activity,Synapse
BP,GO:1901216,positive regulation of neuron death,Apoptosis
BP,GO:0048814,regulation of dendrite morphogenesis,Synapse
BP,GO:0001649,osteoblast differentiation,none
BP,GO:0060071,"Wnt signaling pathway, planar cell polarity pathway",none
BP,GO:1900449,regulation of glutamate receptor signaling pathway,Synapse
BP,GO:0042326,negative regulation of phosphorylation,none
CC,GO:0008021,synaptic vesicle,Synapse
BP,GO:0048813,dendrite morphogenesis,Synapse
BP,GO:0007229,integrin-mediated signaling pathway,none
BP,GO:0060560,developmental growth involved in morphogenesis,none
BP,GO:0045765,regulation of angiogenesis,Vasculature
BP,GO:1904951,positive regulation of establishment of protein localization,none
BP,GO:0071347,cellular response to interleukin-1,Immune Response
BP,GO:0046718,viral entry into host cell,none
BP,GO:0090075,relaxation of muscle,none
BP,GO:0001505,regulation of neurotransmitter levels,Synapse
BP,GO:0042590,antigen processing and presentation of exogenous peptide antigen via MHC class I,Immune Response
BP,GO:0030100,regulation of endocytosis,Endolysosome
BP,GO:0043687,post-translational protein modification,none
MF,GO:0008022,protein C-terminus binding,none
BP,GO:1903578,regulation of ATP metabolic process,none
MF,GO:0005085,guanyl-nucleotide exchange factor activity,none
MF,GO:0051015,actin filament binding,none
BP,GO:0048545,response to steroid hormone,none
BP,GO:0006836,neurotransmitter transport,Synapse
BP,GO:0043266,regulation of potassium ion transport,none
BP,GO:0042176,regulation of protein catabolic process,none
BP,GO:0009259,ribonucleotide metabolic process,none
BP,GO:0060326,cell chemotaxis,none
BP,GO:0051668,localization within membrane,none
CC,GO:0015935,small ribosomal subunit,Proteostasis
BP,GO:1903076,regulation of protein localization to plasma membrane,none
BP,GO:0010632,regulation of epithelial cell migration,none
BP,GO:0030324,lung development,none
CC,GO:0009897,external side of plasma membrane,Lipid Metabolism
BP,GO:0019693,ribose phosphate metabolic process,none
BP,GO:0010506,regulation of autophagy,Autophagy
BP,GO:0006163,purine nucleotide metabolic process,Cell Cycle
BP,GO:0010721,negative regulation of cell development,none
BP,GO:0070498,interleukin-1-mediated signaling pathway,Immune Response
BP,GO:0048588,developmental cell growth,none
BP,GO:0023061,signal release,none
BP,GO:0072521,purine-containing compound metabolic process,Cell Cycle
BP,GO:0007611,learning or memory,Synapse
BP,GO:0006096,glycolytic process,none
BP,GO:0097581,lamellipodium organization,none
BP,GO:0002790,peptide secretion,none
BP,GO:0007160,cell-matrix adhesion,Structural Stabilization
CC,GO:1904115,axon cytoplasm,Synapse
BP,GO:0002694,regulation of leukocyte activation,Immune Response
BP,GO:0050727,regulation of inflammatory response,Immune Response
BP,GO:0051648,vesicle localization,none
BP,GO:0009150,purine ribonucleotide metabolic process,Cell Cycle
BP,GO:0030178,negative regulation of Wnt signaling pathway,none
BP,GO:0051222,positive regulation of protein transport,none
BP,GO:1902600,proton transmembrane transport,none
BP,GO:0071396,cellular response to lipid,Lipid Metabolism
CC,GO:0001401,SAM complex,Mitochondrial Metabolism
BP,GO:1902414,protein localization to cell junction,none
BP,GO:0090132,epithelium migration,none
BP,GO:2001257,regulation of cation channel activity,Synapse
BP,GO:0006165,nucleoside diphosphate phosphorylation,none
BP,GO:0046939,nucleotide phosphorylation,none
BP,GO:0030833,regulation of actin filament polymerization,Structural Stabilization
CC,GO:0044304,main axon,Synapse
BP,GO:0008360,regulation of cell shape,none
BP,GO:0009135,purine nucleoside diphosphate metabolic process,Cell Cycle
BP,GO:0009179,purine ribonucleoside diphosphate metabolic process,Cell Cycle
BP,GO:0070838,divalent metal ion transport,Metal Binding and Homeostasis
BP,GO:1901215,negative regulation of neuron death,Apoptosis
BP,GO:0050708,regulation of protein secretion,none
BP,GO:0008037,cell recognition,none
BP,GO:0060828,regulation of canonical Wnt signaling pathway,none
BP,GO:0000302,response to reactive oxygen species,Oxidative Stress
BP,GO:0034109,homotypic cell-cell adhesion,Structural Stabilization
BP,GO:0048259,regulation of receptor-mediated endocytosis,Endolysosome
CC,GO:1905369,endopeptidase complex,none
BP,GO:0008064,regulation of actin polymerization or depolymerization,Structural Stabilization
BP,GO:1990542,mitochondrial transmembrane transport,Mitochondrial Metabolism
BP,GO:0046777,protein autophosphorylation,none
BP,GO:0006081,cellular aldehyde metabolic process,none
BP,GO:0031098,stress-activated protein kinase signaling cascade,none
BP,GO:0050921,positive regulation of chemotaxis,none
BP,GO:0051701,interaction with host,none
BP,GO:0043534,blood vessel endothelial cell migration,Vasculature
MF,GO:0001664,G protein-coupled receptor binding,none
BP,GO:0043535,regulation of blood vessel endothelial cell migration,Vasculature
BP,GO:0007423,sensory organ development,none
BP,GO:0001503,ossification,none
MF,GO:0005516,calmodulin binding,none
CC,GO:0009898,cytoplasmic side of plasma membrane,none
BP,GO:0034446,substrate adhesion-dependent cell spreading,Structural Stabilization
BP,GO:0001736,establishment of planar polarity,none
BP,GO:0007164,establishment of tissue polarity,none
CC,GO:0045177,apical part of cell,none
BP,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",Mitochondrial Metabolism
BP,GO:0072384,organelle transport along microtubule,none
BP,GO:0051249,regulation of lymphocyte activation,none
CC,GO:0099240,intrinsic component of synaptic membrane,Synapse
BP,GO:0042110,T cell activation,Immune Response
MF,GO:0005088,Ras guanyl-nucleotide exchange factor activity,none
CC,GO:0030662,coated vesicle membrane,Endolysosome
BP,GO:0060333,interferon-gamma-mediated signaling pathway,Immune Response
MF,GO:0004674,protein serine/threonine kinase activity,none
MF,GO:0017124,SH3 domain binding,none
BP,GO:0050772,positive regulation of axonogenesis,Synapse
BP,GO:0002028,regulation of sodium ion transport,none
BP,GO:0034605,cellular response to heat,none
BP,GO:0045860,positive regulation of protein kinase activity,none
BP,GO:0031099,regeneration,none
BP,GO:0051650,establishment of vesicle localization,none
BP,GO:0090130,tissue migration,none
CC,GO:0045335,phagocytic vesicle,Autophagy
BP,GO:2000027,regulation of animal organ morphogenesis,none
BP,GO:0035418,protein localization to synapse,Synapse
BP,GO:0061001,regulation of dendritic spine morphogenesis,Synapse
BP,GO:0048015,phosphatidylinositol-mediated signaling,Lipid Metabolism
BP,GO:0043271,negative regulation of ion transport,none
BP,GO:1903036,positive regulation of response to wounding,none
BP,GO:0009896,positive regulation of catabolic process,none
BP,GO:0046031,ADP metabolic process,none
BP,GO:0036473,cell death in response to oxidative stress,Oxidative Stress
BP,GO:1901888,regulation of cell junction assembly,Structural Stabilization
BP,GO:0002683,negative regulation of immune system process,Immune Response
BP,GO:0007159,leukocyte cell-cell adhesion,Immune Response
BP,GO:0038061,NIK/NF-kappaB signaling,Apoptosis
BP,GO:0043409,negative regulation of MAPK cascade,none
BP,GO:0051403,stress-activated MAPK cascade,none
BP,GO:0030323,respiratory tube development,none
BP,GO:0010631,epithelial cell migration,none
CC,GO:0005884,actin filament,Structural Stabilization
BP,GO:0098930,axonal transport,Synapse
BP,GO:1990138,neuron projection extension,Synapse
BP,GO:0031349,positive regulation of defense response,Immune Response
BP,GO:0046580,negative regulation of Ras protein signal transduction,none
MF,GO:0005546,"phosphatidylinositol-4,5-bisphosphate binding",Lipid Metabolism
BP,GO:0150063,visual system development,none
BP,GO:1900034,regulation of cellular response to heat,none
CC,GO:0016324,apical plasma membrane,none
BP,GO:2000116,regulation of cysteine-type endopeptidase activity,none
BP,GO:0045773,positive regulation of axon extension,Synapse
BP,GO:0031103,axon regeneration,Myelination
BP,GO:0001933,negative regulation of protein phosphorylation,none
BP,GO:0043434,response to peptide hormone,none
BP,GO:0031103,axon regeneration,Synapse
BP,GO:0009991,response to extracellular stimulus,none
BP,GO:0002218,activation of innate immune response,Immune Response
BP,GO:0001952,regulation of cell-matrix adhesion,Structural Stabilization
CC,GO:0048786,presynaptic active zone,Synapse
CC,GO:0031304,intrinsic component of mitochondrial inner membrane,Mitochondrial Metabolism
CC,GO:0031305,integral component of mitochondrial inner membrane,Mitochondrial Metabolism
BP,GO:0043405,regulation of MAP kinase activity,none
BP,GO:0035249,"synaptic transmission, glutamatergic",Synapse
BP,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,Immune Response
BP,GO:0060996,dendritic spine development,Synapse
BP,GO:0002758,innate immune response-activating signal transduction,Immune Response
BP,GO:0072511,divalent inorganic cation transport,none
BP,GO:0050770,regulation of axonogenesis,Synapse
MF,GO:0003713,transcription coactivator activity,none
BP,GO:0007369,gastrulation,none
BP,GO:0060541,respiratory system development,none
BP,GO:0097305,response to alcohol,none
BP,GO:0001654,eye development,none
BP,GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,Apoptosis
BP,GO:0032388,positive regulation of intracellular transport,none
BP,GO:0048193,Golgi vesicle transport,Proteostasis
BP,GO:0030832,regulation of actin filament length,Structural Stabilization
BP,GO:0007269,neurotransmitter secretion,Synapse
BP,GO:0099643,signal release from synapse,Synapse
MF,GO:0015662,"ion transmembrane transporter activity, phosphorylative mechanism",none
BP,GO:0016079,synaptic vesicle exocytosis,Synapse
BP,GO:0007044,cell-substrate junction assembly,Structural Stabilization
BP,GO:0043536,positive regulation of blood vessel endothelial cell migration,Vasculature
BP,GO:0120032,regulation of plasma membrane bounded cell projection assembly,none
CC,GO:0030665,clathrin-coated vesicle membrane,Endolysosome
BP,GO:0030705,cytoskeleton-dependent intracellular transport,none
CC,GO:0005839,proteasome core complex,Proteostasis
BP,GO:0006418,tRNA aminoacylation for protein translation,Proteostasis
BP,GO:0043484,regulation of RNA splicing,RNA Spliceosome
BP,GO:0030038,contractile actin filament bundle assembly,Structural Stabilization
BP,GO:0043149,stress fiber assembly,Structural Stabilization
BP,GO:0001704,formation of primary germ layer,none
BP,GO:0002576,platelet degranulation,none
BP,GO:0031102,neuron projection regeneration,Synapse
MF,GO:1902936,phosphatidylinositol bisphosphate binding,Lipid Metabolism
BP,GO:1903305,regulation of regulated secretory pathway,none
BP,GO:0051058,negative regulation of small GTPase mediated signal transduction,none
BP,GO:0010970,transport along microtubule,none
BP,GO:0002220,innate immune response activating cell surface receptor signaling pathway,Immune Response
BP,GO:0009201,ribonucleoside triphosphate biosynthetic process,none
BP,GO:0090090,negative regulation of canonical Wnt signaling pathway,none
BP,GO:0071383,cellular response to steroid hormone stimulus,Lipid Metabolism
